date,height_temperature_predicted,low_temperature_predicted,humidity_predicted,precipitation_predicted
2024-11-11,25.0,14.8,57.1,4.1
2024-11-12,24.2,15.4,61.4,5.4
2024-11-13,23.5,14.3,65.0,5.3
2024-11-14,24.7,14.9,62.3,5.2
2024-11-15,23.7,15.2,61.3,3.8
2024-11-16,24.7,15.2,62.0,2.4
2024-11-17,23.7,14.7,63.8,1.7
2024-11-18,23.0,14.8,63.8,4.4
2024-11-19,23.0,15.4,65.5,5.7
2024-11-20,23.0,15.0,66.9,5.4
2024-11-21,24.5,15.5,62.7,5.2
2024-11-22,23.8,15.7,61.1,3.8
2024-11-23,24.8,15.5,60.8,2.5
2024-11-24,23.9,15.0,62.0,1.8
2024-11-25,23.2,15.0,62.2,4.5
2024-11-26,23.2,15.5,64.5,5.7
2024-11-27,23.1,15.0,66.3,5.5
2024-11-28,24.6,15.6,62.4,5.2
2024-11-29,23.9,15.7,60.8,3.8
2024-11-30,24.9,15.6,60.7,2.5
2024-12-01,24.0,15.1,62.0,1.8
2024-12-02,23.3,15.1,62.2,4.5
2024-12-03,23.2,15.6,64.3,5.7
2024-12-04,23.2,15.1,66.1,5.5
2024-12-05,24.7,15.7,62.1,5.2
2024-12-06,24.0,15.9,60.5,3.8
2024-12-07,25.0,15.7,60.4,2.5
2024-12-08,24.0,15.2,61.7,1.8
2024-12-09,23.3,15.2,61.9,4.5
2024-12-10,23.3,15.8,64.0,5.7
2024-12-11,23.3,15.2,65.8,5.5
2024-12-12,24.8,15.8,61.8,5.2
2024-12-13,24.1,16.0,60.2,3.8
2024-12-14,25.0,15.8,60.1,2.5
2024-12-15,24.1,15.3,61.4,1.8
