date,height_temperature_predicted,low_temperature_predicted,humidity_predicted,precipitation_predicted
2024-11-06,26.0,16.5,54.8,3.4
2024-11-07,26.4,16.2,54.3,1.9
2024-11-08,26.1,15.6,54.7,1.3
2024-11-09,26.3,15.8,56.2,3.4
2024-11-10,25.5,16.1,58.7,4.6
2024-11-11,24.7,16.1,59.3,4.0
2024-11-12,26.8,16.5,54.3,4.3
2024-11-13,26.4,16.3,54.0,3.9
2024-11-14,26.8,16.1,53.1,2.4
2024-11-15,26.1,15.5,53.3,1.6
2024-11-16,26.4,15.8,55.5,3.6
2024-11-17,26.0,16.1,56.8,4.8
2024-11-18,25.1,16.1,56.9,4.1
2024-11-19,26.7,16.6,52.6,4.4
2024-11-20,26.6,16.4,52.6,4.0
2024-11-21,27.3,16.1,51.7,2.5
2024-11-22,26.3,15.6,52.0,1.6
2024-11-23,26.4,15.9,54.1,3.7
2024-11-24,26.3,16.2,55.6,4.8
2024-11-25,25.5,16.2,55.8,4.1
2024-11-26,26.8,16.7,51.4,4.4
2024-11-27,26.7,16.4,51.3,4.0
2024-11-28,27.7,16.2,50.4,2.5
2024-11-29,26.6,15.7,50.6,1.6
2024-11-30,26.4,16.0,52.8,3.7
2024-12-01,26.5,16.3,54.3,4.8
2024-12-02,25.9,16.3,54.4,4.1
2024-12-03,27.0,16.7,50.0,4.4
2024-12-04,26.7,16.5,49.9,4.0
2024-12-05,28.0,16.3,49.1,2.5
2024-12-06,27.0,15.7,49.3,1.6
2024-12-07,26.5,16.0,51.4,3.7
2024-12-08,26.6,16.3,53.0,4.8
2024-12-09,26.3,16.3,53.1,4.1
2024-12-10,27.3,16.8,48.7,4.4
2024-12-11,26.8,16.6,48.6,4.0
2024-12-12,28.2,16.4,47.8,2.5
2024-12-13,27.5,15.8,48.0,1.6
2024-12-14,26.7,16.1,50.1,3.7
2024-12-15,26.7,16.4,51.6,4.8
2024-12-16,26.6,16.4,51.8,4.1
2024-12-17,27.7,16.9,47.4,4.4
2024-12-18,26.9,16.7,47.3,4.0
2024-12-19,28.3,16.4,46.4,2.5
2024-12-20,27.8,15.9,46.7,1.6
2024-12-21,27.0,16.2,48.8,3.7
2024-12-22,26.7,16.5,50.3,4.8
2024-12-23,26.8,16.5,50.5,4.1
2024-12-24,28.1,16.9,46.0,4.4
2024-12-25,27.2,16.7,46.0,4.0
