date,humidity,humidity_history
2021-01-01T00:00:00,50.51,69.69
2021-01-02T00:00:00,58.77,70.35
2021-01-03T00:00:00,61.17,70.98
2021-01-04T00:00:00,63.77,71.66
2021-01-05T00:00:00,60.02,71.99
2021-01-06T00:00:00,63.19,71.82
2021-01-07T00:00:00,63.79,71.7
2021-01-08T00:00:00,33.5,71.61
2021-01-09T00:00:00,31.06,71.63
2021-01-10T00:00:00,36.45,71.58
2021-01-11T00:00:00,38.41,71.79
2021-01-12T00:00:00,49.95,71.98
2021-01-13T00:00:00,50.0,71.99
2021-01-14T00:00:00,48.25,71.57
2021-01-15T00:00:00,50.97,71.71
2021-01-16T00:00:00,55.94,71.94
2021-01-17T00:00:00,52.23,72.17
2021-01-18T00:00:00,50.85,72.71
2021-01-19T00:00:00,52.51,73.49
2021-01-20T00:00:00,58.84,74.09
2021-01-21T00:00:00,76.6,74.16
2021-01-22T00:00:00,73.96,74.06
2021-01-23T00:00:00,69.32,73.85
2021-01-24T00:00:00,70.36,73.77
2021-01-25T00:00:00,89.06,73.56
2021-01-26T00:00:00,76.93,73.93
2021-01-27T00:00:00,81.04,74.14
2021-01-28T00:00:00,57.72,74.15
2021-01-29T00:00:00,60.06,74.24
2021-01-30T00:00:00,65.93,74.32
2021-01-31T00:00:00,77.22,74.32
2021-02-01T00:00:00,84.59,74.52
2021-02-02T00:00:00,76.33,75.05
2021-02-03T00:00:00,81.09,75.48
2021-02-04T00:00:00,81.89,75.86
2021-02-05T00:00:00,76.52,76.09
2021-02-06T00:00:00,71.13,76.03
2021-02-07T00:00:00,69.56,75.96
2021-02-08T00:00:00,81.37,75.78
2021-02-09T00:00:00,87.88,75.57
2021-02-10T00:00:00,86.05,75.56
2021-02-11T00:00:00,78.36,76.43
2021-02-12T00:00:00,74.53,77.09
2021-02-13T00:00:00,71.31,77.56
2021-02-14T00:00:00,69.64,78.16
2021-02-15T00:00:00,73.2,78.65
2021-02-16T00:00:00,87.04,78.41
2021-02-17T00:00:00,60.54,78.0
2021-02-18T00:00:00,58.04,77.44
2021-02-19T00:00:00,59.92,76.95
2021-02-20T00:00:00,61.43,76.82
2021-02-21T00:00:00,65.07,77.04
2021-02-22T00:00:00,71.8,77.38
2021-02-23T00:00:00,71.78,78.13
2021-02-24T00:00:00,71.24,78.37
2021-02-25T00:00:00,86.66,78.35
2021-02-26T00:00:00,81.18,78.28
2021-02-27T00:00:00,75.57,78.24
2021-02-28T00:00:00,91.49,77.64
2021-03-01T00:00:00,89.83,77.82
2021-03-02T00:00:00,61.97,77.7
2021-03-03T00:00:00,73.11,77.46
2021-03-04T00:00:00,88.86,77.48
2021-03-05T00:00:00,93.41,77.74
2021-03-06T00:00:00,83.54,77.76
2021-03-07T00:00:00,72.48,77.92
2021-03-08T00:00:00,81.42,78.36
2021-03-09T00:00:00,89.74,79.08
2021-03-10T00:00:00,92.14,79.73
2021-03-11T00:00:00,92.33,80.5
2021-03-12T00:00:00,84.22,81.17
2021-03-13T00:00:00,84.38,81.7
2021-03-14T00:00:00,86.29,81.48
2021-03-15T00:00:00,88.64,81.73
2021-03-16T00:00:00,85.75,81.81
2021-03-17T00:00:00,82.4,81.94
2021-03-18T00:00:00,82.84,82.14
2021-03-19T00:00:00,85.17,82.52
2021-03-20T00:00:00,84.84,82.57
2021-03-21T00:00:00,70.91,82.47
2021-03-22T00:00:00,53.44,82.16
2021-03-23T00:00:00,63.1,81.43
2021-03-24T00:00:00,70.94,80.81
2021-03-25T00:00:00,82.93,80.44
2021-03-26T00:00:00,86.4,80.41
2021-03-27T00:00:00,89.96,80.4
2021-03-28T00:00:00,87.43,81.0
2021-03-29T00:00:00,84.48,81.45
2021-03-30T00:00:00,85.56,81.58
2021-03-31T00:00:00,81.28,81.67
2021-04-01T00:00:00,81.82,81.6
2021-04-02T00:00:00,84.98,81.29
2021-04-03T00:00:00,85.98,81.52
2021-04-04T00:00:00,81.09,81.78
2021-04-05T00:00:00,85.03,81.75
2021-04-06T00:00:00,82.55,81.93
2021-04-07T00:00:00,90.59,82.24
2021-04-08T00:00:00,78.75,82.43
2021-04-09T00:00:00,79.24,82.47
2021-04-10T00:00:00,87.21,82.42
2021-04-11T00:00:00,88.08,82.32
2021-04-12T00:00:00,90.02,81.91
2021-04-13T00:00:00,87.86,81.15
2021-04-14T00:00:00,86.61,80.79
2021-04-15T00:00:00,88.64,81.08
2021-04-16T00:00:00,84.74,81.64
2021-04-17T00:00:00,80.12,82.47
2021-04-18T00:00:00,91.65,83.32
2021-04-19T00:00:00,91.94,83.82
2021-04-20T00:00:00,87.73,83.75
2021-04-21T00:00:00,86.75,83.51
2021-04-22T00:00:00,89.3,83.19
2021-04-23T00:00:00,85.33,82.93
2021-04-24T00:00:00,89.4,82.83
2021-04-25T00:00:00,83.55,82.87
2021-04-26T00:00:00,87.9,82.65
2021-04-27T00:00:00,88.45,82.58
2021-04-28T00:00:00,82.76,82.49
2021-04-29T00:00:00,71.68,82.65
2021-04-30T00:00:00,74.38,82.71
2021-05-01T00:00:00,74.81,83.09
2021-05-02T00:00:00,83.86,83.17
2021-05-03T00:00:00,90.53,83.22
2021-05-04T00:00:00,86.56,83.13
2021-05-05T00:00:00,78.83,83.28
2021-05-06T00:00:00,83.36,83.48
2021-05-07T00:00:00,91.0,83.78
2021-05-08T00:00:00,88.77,84.03
2021-05-09T00:00:00,87.82,84.12
2021-05-10T00:00:00,85.22,83.99
2021-05-11T00:00:00,86.57,83.78
2021-05-12T00:00:00,90.73,83.59
2021-05-13T00:00:00,92.61,83.59
2021-05-14T00:00:00,85.45,83.56
2021-05-15T00:00:00,85.62,83.4
2021-05-16T00:00:00,86.96,83.32
2021-05-17T00:00:00,86.06,83.44
2021-05-18T00:00:00,86.56,83.21
2021-05-19T00:00:00,89.85,83.12
2021-05-20T00:00:00,91.55,83.29
2021-05-21T00:00:00,89.17,83.21
2021-05-22T00:00:00,86.37,82.96
2021-05-23T00:00:00,86.07,83.17
2021-05-24T00:00:00,82.37,83.51
2021-05-25T00:00:00,81.37,83.56
2021-05-26T00:00:00,87.28,83.58
