date,wind_velocity,wind_velocity_history
2023-01-01T00:00:00,8.2,7.7
2023-01-02T00:00:00,11.1,7.6
2023-01-03T00:00:00,10.8,7.6
2023-01-04T00:00:00,5.5,7.5
2023-01-05T00:00:00,6.3,7.6
2023-01-06T00:00:00,8.9,7.6
2023-01-07T00:00:00,4.0,7.5
2023-01-08T00:00:00,2.2,7.4
2023-01-09T00:00:00,3.6,7.6
2023-01-10T00:00:00,9.1,7.6
2023-01-11T00:00:00,3.6,7.6
2023-01-12T00:00:00,4.4,7.8
2023-01-13T00:00:00,7.9,7.9
2023-01-14T00:00:00,12.6,7.8
2023-01-15T00:00:00,18.1,7.7
2023-01-16T00:00:00,13.3,7.7
2023-01-17T00:00:00,9.9,7.6
2023-01-18T00:00:00,8.1,7.3
2023-01-19T00:00:00,5.9,7.4
2023-01-20T00:00:00,8.5,7.6
2023-01-21T00:00:00,5.1,7.8
2023-01-22T00:00:00,8.5,8.1
2023-01-23T00:00:00,10.7,8.2
2023-01-24T00:00:00,17.4,8.2
2023-01-25T00:00:00,5.4,8.1
2023-01-26T00:00:00,5.8,7.8
2023-01-27T00:00:00,14.9,7.8
2023-01-28T00:00:00,9.9,7.9
2023-01-29T00:00:00,6.1,7.9
2023-01-30T00:00:00,2.6,8.0
2023-01-31T00:00:00,5.6,8.0
2023-02-01T00:00:00,3.0,8.0
2023-02-02T00:00:00,9.7,7.8
2023-02-03T00:00:00,7.8,7.7
2023-02-04T00:00:00,8.1,7.6
2023-02-05T00:00:00,6.8,7.7
2023-02-06T00:00:00,5.0,7.7
2023-02-07T00:00:00,8.0,7.8
2023-02-08T00:00:00,6.1,7.8
2023-02-09T00:00:00,8.1,8.0
2023-02-10T00:00:00,7.5,7.8
2023-02-11T00:00:00,4.9,7.6
2023-02-12T00:00:00,5.3,7.5
2023-02-13T00:00:00,16.0,7.5
2023-02-14T00:00:00,14.4,7.4
2023-02-15T00:00:00,11.0,7.5
2023-02-16T00:00:00,5.0,7.8
2023-02-17T00:00:00,4.3,8.0
2023-02-18T00:00:00,4.2,8.1
2023-02-19T00:00:00,12.7,8.1
